B24, 艾叶 | Ai Ye
E35, 巴戟天 | 四块瓦 | Ba Ji Tian
B75, 白附片 | Bai Fu Pian
E11, 白扁豆 | Bai Bian Dou
B41, 百部 | Bai Bu
G13, 白豆蔻 | Bai Dou Kou
D75, 白果 | Bai Guo
E43, 百合 | Bai He
D13, 白花蛇舌草 | Bai Hua She She Cao
B66, 白及 | Bai Ji
G41, 白蒺藜 | Bai Ji Li
C25, 败酱草 | Bai Jiang Cao
D54, 白芥子 | Bai Jie Zi
B14, 白茅根 | Bai Mao Gen
D65, 白前 | Bai Qian
E42, 白芍 | Bai Shao
H15, 白头翁 | Bai Tou Weng
A42, 白薇 | Bai Wei
G44, 白鲜皮 | Bai Xian Pi
C41, 白芷 | Bai Zhi
E61, 白术 | Bai Zhu
F52, 柏子仁 | Bai Zi Ren
C56, 板蓝根 | Ban Lan Gen
D44, 半夏 | Ban Xia
D14, 半枝莲 | Ban Zhi Lian
北杏仁 | Bei Xing Ren
B74, 荜茇 | Bi Ba
A35, 萆薢 | Bi Xie
E66, 萹蓄 | Bian Xu
A26, 鳖甲 | Bie Jia
C63, 薄荷 | Bo He
E46, 补骨脂 | Bu Gu Zhi
C51, 苍耳子 | Cang Er Zi
G32, 苍术 | Cang Zhu
D61, 草乌 | Cao Wu
G23, 草豆蔻 | Cao Dou Kou
G33, 草果 | Cao Guo
B25, 侧柏叶 | Ce Bai Ye
C53, 柴胡 | Chai Hu
C52, 蝉蜕 | Chan Tui
A55, 车前草 | Che Qian Cao
A64, 车前子 | Che Qian Zi
B14, 陈皮 | Chen Pi
B33, 沉香 | Chen Xiang
F35, 赤芍 | Chi Shao
F71, 赤石脂 | Chi Shi Zhi
G25, 茺蔚子 | Chong Wei Zi
D46, 川贝母 | Chuan Bei Mu
B43, 川楝子 | Chuan Lian Zi
F55, 川木通 | Chuan Mu Tong
D71, 川牛膝 | Chuan Niu Xi
H56, 川芎 | Chuan Xiong
E25, 大腹皮 | Da Fu Pi
A22, 大黄 | Da Huang
G14, 大青叶 | Da Qing Ye
C43, 代赭石 | Dai Zhe Shi
C16, 胆南星 | Dan Nan Xing
F24, 党参 | Dang Shen
E72, 当归 | 當歸 | Dang Gui
F61, 灯心草 | Deng Xin Cao
B73, 丁香 | Ding Xiang
E25, 冬瓜子 | Dong Gua Zi
H51, 冬瓜皮 | Dong Gua Pi
A22, 独活 | Du Huo
E64, 杜仲 | Du Zhong
E66, 莪术 | E Zhu
A23, 防风 | Fang Feng
C22, 浮小麦 | Fu Xiao Mai
A73, 附片 | Fu Zi | Fu Pian
A15, 甘草 | Gan Cao
E31, 干姜 | Gan Jiang
G24, 葛根 | Ge Gen
F31, 藁本 | Gao Ben
B23, 钩藤 | Gou Teng
E24, 瓜蒌 | Gua Lou
C66, 桂枝 | Gui Zhi
B51, 海螵蛸 | Hai Piao Xiao
D12, 海桐皮 | Hai Tong Pi
A73, 汉防己 | Han Fang Ji
B45, 墨旱莲 | Han Lian Cao | Mo Han Lian
E12, 何首乌 | He Shou Wu
F44, 诃子 | He Zi
红枣 | Hong Zao
